lyrics,url,artist
"Her day starts with a coffee and ends with a wine
Takes forever getting ready so she's never on time for anything
When she gets that ""come get me"" look in her eyes
Well, it kinda scares me, the way that she drives me wild
When she drives me wild
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me
She makes plans for the weekend, can't wait to go out
Till she changes her mind
Says, ""Let's stay on the couch and watch TV""
And she falls asleep
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me
She's unpredictable, unforgettable
It's unusual, unbelievable
How I'm such a fool, yeah, I'm such a fool for her
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy, she's crazy, she's crazy
But her crazy's beautiful to me
Her crazy's beautiful to me",https://genius.com/Luke-combs-beautiful-crazy-lyrics,Luke Combs
"A cold beer's got twelve ounces
A good truck's got maybe three hundred thousand
You only get so much until it's gone
Duracells in a Maglite
A needle drop on a forty-five
Are the kinda things that only last so long
When the new wears off, and they get to gettin' old
Sooner or later, time's gonna take its toll
They say nothing lasts forever
But they ain't seen us together
Or the way the moonlight dances in your eyes
Just a T-shirt in the kitchen
With no make-up and a million
Other things that I could look at my whole life
A love like that makes a man have second thoughts
Maybe some things last forever after all
The FM station on the outskirts
Blue jeans after years of shift work
All fadin' out like I always knew they would
The strings on this guitar
The first love lost on a young heart
Those things are gonna break after the getting's good
'Cause the new wears off and they get to gettin' old
Yeah, sooner or later, time's gonna take its toll
They say nothing lasts forever
But they ain't seen us together
Or the way the moonlight dances in your eyes
Just a T-shirt in the kitchen
With no make-up and a million
Other things that I could look at my whole life
A love like that makes a man have second thoughts
Maybe some things last forever after all
They say nothing lasts forever
But they ain't seen us together
Or the way the moonlight dances in your eyes
And I know there'll be that moment
The good Lord calls one of us home and
One won't have the other by their side
But Heaven knows it, that won't last too long
Maybe some things last forever after all
After all",https://genius.com/Luke-combs-forever-after-all-lyrics,Luke Combs
"Sunday morning
Man, she woke up fightin' mad
Bitchin' and moanin' on and on
'Bout the time I had
And by Tuesday you could say
That girl was good as gone
Then when Thursday came around I was all alone
So I went for a drive to clear my mind
Ended up at a Shell on I-65
Then I won a hundred bucks on a scratch-off ticket
I bought two 12-packs and a tank of gas with it
She swore they were a waste of time
Oh, but she was wrong
I was caller number five on a radio station
Won a four day, three night beach vacation
Deep sea señorita fishing down in Panama
And I ain't gotta see my
Ex-future-mother-in-law anymore
Oh Lord, when it rains it pours
Now she was sure real quick to up and apologize
When she heard about my newfound luck
On that FM dial
And it's crazy how lately now
It just seems to come in waves
What I thought was gonna be the death of me
Was my saving grace
It's got me thinking that her leaving
Is the only logical reason
That I got the last spot in the Hooters' parking lot
And the waitress left her number on my check with a heart
She picked up on the first ring when I gave her a call
And I only spent five bucks at the Moose Club raffle
Won a used 4-wheeler and three free passes
For me and two of my buddies to play a round of golf
And I ain't gotta see my
Ex-future-mother-in-law anymore
Oh Lord, when it rains it pours
When it rains it pours
Well I've been on one hell of a redneck roll
For three weeks now
And it all started on the day that she walked out
Then I won a hundred bucks on a scratch-off ticket
Bought two 12-packs and a tank of gas with it
She swore they were a waste of time
Oh, but she was wrong
And I was caller number five on a radio station
Won a four day, three night beach vacation
Deep sea señorita fishing down in Panama
And I ain't gotta see my
Ex-future-mother-in-law anymore
Oh Lord, when it rains it pours
When it rains it pours",https://genius.com/Luke-combs-when-it-rains-it-pours-lyrics,Luke Combs
"Seventeen, you don't think that much about life
You just live it
Like kerosene dancing around a fire
But you're in it
So you jump right in
Ain't afraid to fall
And you give it all
She got the best of me
She broke my heart
Now all that's left of me
Is beating in this guitar
Every night, a different town
She follows me around
So you get what's left of me
Yeah, you get what's left of me
'Cause she got the best of me
I picked myself up off the floor
And found something new worth living for
And a, old dusty hand-me-down six string
And a couple chords
I'm getting over her
A little more with every song
So sing along
She got the best of me
She broke my heart
Now all that's left of me
Is beating in this guitar
Every night, a different town
She follows me around
So you get what's left of me
Yeah, you get what's left of me
'Cause she got the best of me
She got the best of me
She broke my heart
Now all that's left of me
Is beating in this guitar
Every night, a different town
She follows me around
So you get what's left of me
Yeah, you get what's left of me
'Cause she got the best of me
She got the best of me
She got the best of me
She got the best of me",https://genius.com/Luke-combs-she-got-the-best-of-me-lyrics,Luke Combs
"Oh, maybe I came on too strong
Maybe I waited too long
Maybe I played my cards wrong
Oh, just a little bit wrong
Baby I apologize for it
I could fall, or I could fly
Here in your aeroplane
And I could live, I could die
Hangin' on the words you say
And I've been known to give my all
And jumpin' in harder than
Ten thousand rocks on the lake
So don't call me baby
Unless you mean it
Don't tell me you need me
If you don't believe it
So let me know the truth
Before I dive right into you
You're a mystery
I have travelled the world
And there's no other girl like you
No one, what's your history? 
Do you have a tendency to lead some people on?
'Cause I heard you do, mmh
I could fall, or I could fly
Here in your aeroplane
And I could live, I could die
Hanging on the words you say
And I've been known to give my all
And lie awake, every day
Don't know how much I can take
So don't call me baby
Unless you mean it
Don't tell me you need me
If you don't believe it
So let me know the truth
Before I dive right into you
I could fall, or I could fly
Here in your aeroplane
And I could live, I could die
Hangin' on the words you say
And I've been known to give my all
Sittin' back, lookin' at
Every mess that I made
So don't call me baby
Unless you mean it
Don't tell me you need me
If you don't believe it
So let me know the truth
Before I dive right into you
Before I dive right into you
Before I dive right into you",https://genius.com/Luke-combs-dive-lyrics,Luke Combs
"Are you sitting at home, all alone, trying to fall asleep?
Are you staring a hole through your phone, praying that it rings?
Are you watching a movie that you've seen a thousand times?
Or maybe playing some Mayer, getting lost in your favorite lines
Well, if you're anything like me
You just might be doing whatever it takes
To drown out the noise
But I just wanna hear your voice
I’m one number away
From calling to you
I said I was through
But I'm dying, inside
Got my head in a mess
Girl, I confess
I lied when I said
""I'm leaving and not coming back""
Might be the whiskey or the midnight rain
But everywhere I go, I see your face
In my brain, dial it up, everything I wanna say
But I'm still one number away
Are you stuck at a red light with a Marlboro Light on your lips?
Does the smoke in your mirror get clearer without my kiss?
Are you changing the station replacing our favorite songs?
Well maybe it's a mistake, hit the brakes on the moving on
Well, if you're anything like me
You just might be doing whatever it takes
To outrun the storm
But I'm almost out that door
And I'm one number away
From calling to you
I said I was through
But I'm dying, inside
Got my head in a mess
Girl, I confess
I lied when I said
""I'm leaving and not coming back""
Might be the whiskey or the midnight rain
But everywhere I go, I see your face
In my brain, dial it up, everything I wanna say
But I'm still one number away
Will you pick up when I call?
Or just forget we loved at all
We don't have to talk
I just wanna hear your voice
And I'm one number away
From calling you
I said I was through
But I'm dying, inside
Got my head in a mess
Girl, I confess
I lied when I said
""I'm leaving and not coming back""
Might be the whiskey or the midnight rain
But everywhere I go, I see your face
In my brain, dial it up, everything I wanna say
But I'm still one number away
Away, away
Yeah I'm still one number away",https://genius.com/Luke-combs-one-number-away-lyrics,Luke Combs
"You were wearing that black dress
Coat, and cowboy boots
He was there, but I didn't care
I was too busy staring at you
In the pouring rain, with the blue lights flashin'
In the hills of Appalachian
Close to tears with your makeup smeared
I asked you what had happened
But I know she ain't ready
She won't be for awhile
And he broke her down
And when I'm around
I can see it in her smile
She's fightin' getting closer
It's just too plain to see
And I know she ain't ready
But that's alright with me
You were wearing that red dress
Pearls, and those high heels
Liked the way it made you look
You love the way it made you feel
So I said to you
""I'd sure love to do this again""
And you said
""Me too, but I'm just not over him""
And I know she ain't ready
She won't be for awhile
And he broke her down
And when I'm around
I can see it in her smile
She's fightin' getting closer
It's just too plain to see
And I know she ain't ready
But that's alright with me, yeah
She started calling me baby, and two years later
I was down on one knee
With a ring in hand, I said
""I'm your man, and girl, will you marry me?""
She said, ""You know that I'm ready
And I have been for awhile
When the bells sound and you turn around
I'll be walking down the aisle
This will only bring us closer
It's just too plain to see
And I know that we're ready
So that's alright with me
That's alright with me""",https://genius.com/Luke-combs-i-know-she-aint-ready-lyrics,Luke Combs
"A 40 HP Johnson on a flat bottom metal boat
Coke cans and BB guns, barbed wire and old fence posts
8-point bucks in autumn and freshly cut cornfields
One arm out the window and one hand on the wheel
Some things just go better together and probably always will
Like a cup of coffee and a sunrise, Sunday drives and time to kill
What's the point of this ol' guitar if it ain't got no strings?
Or pourin' your heart into a song that you ain't gonna sing?
It's a match made up in heaven, like good ol' boys and beer
And me, as long as you're right here
Your license in my wallet when we go out downtown
Your lipstick's stained every coffee cup that I got in this house
The way you say, ""I love you, too"" is like rain on an old tin roof
And your hand fits right into mine like a needle in a groove
Some things just go better together and probably always will
Like a cup of coffee and a sunrise, Sunday drives and time to kill
What's the point of this ol' guitar if it ain't got no strings?
Or pourin' your heart into a song that you ain't gonna sing?
It's a match made up in heaven, like good ol' boys and beer
And me, as long as you're right here
Sometimes we're oil and water
But I wouldn't have it any other way
And if I'm being honest
Your first and my last name
Would just sound better together and probably always will
Like a cup of coffee and a sunrise, Sunday drives and time to kill
What's the point of this ol' guitar if it ain't got no strings?
Or pourin' your heart into a song that you ain't gonna sing?
It's a match made up in heaven, like good ol' boys and beer
And me, as long as you're right here
And me, as long as you're right here",https://genius.com/Luke-combs-better-together-lyrics,Luke Combs
"Hadn't had a good time
Since you know when
Got talked into going out
With hopes you were staying in
I was feeling like myself for the first time
In a long time
'Til I bumped into some of your friends
Over there talkin' to mine
Then you rolled in with your hair in the wind
Baby, without warning
I was doing alright but just your sight
Had my heart stormin’
The moon went hidin’, stars quit shinin’
Rain was drivin’, thunder n' lightning
You wrecked my whole world when you came
And hit me like a hurricane
You hit me like a hurricane
Knew it was gonna be a long night
From the moment when
We locked eyes over whiskey on ice
Started talking 'bout us again
If I would've just laid my drink down
And walked out
I wouldn't be in my truck
Driving us to your house
But you rolled in with your hair in the wind
Baby, without warning
I was doing alright but just your sight
Had my heart stormin’
The moon went hidin’, stars quit shinin’
Rain was drivin’, thunder n' lightning
You wrecked my whole world when you came
And hit me like a hurricane
You hit me like a hurricane
Yeah, you hit me Category 5
With your smile
Blew me away
And girl, it ain't but midnight
You done killed the lights
Bent my heart back to your bedside
Then you rolled in with your hair in the wind
Baby, without warning
'Cause I was doing alright but just your sight
Had my heart storming
The moon went hidin’, stars quit shinin’
Rain was drivin’, thunder n' lightning
You wrecked my whole world when you came
And hit me like a hurricane
You hit me like a hurricane
You hit me like a hurricane",https://genius.com/Luke-combs-hurricane-lyrics,Luke Combs
"Daddy, I'm afraid, won't you stay a little while?
Keep me safe 'cause there's monsters right outside
Daddy, please don't go, I don't wanna be alone
'Cause the second that you're gone they're gonna know
Before he went to bed he grabbed my hand and said
Just 'cause I'm leavin'
It don't mean that I won't be right by your side
When you need me
And you can't see me in the middle of the night
Just close your eyes and say a prayer
It's okay, I know you're scared when I'm not here
But I'll always be right there
Even though I'm leavin', I ain't goin' nowhere
Dad, we'll be late, and Uncle Sam don't like to wait
He's got a big old plane that's gonna take me far away
I know I act tough, but there's a churnin' in my gut
'Cause I just can't call you up when things get rough
Before I left, he hugged my neck and said
Just 'cause you're leavin'
It don't mean that I won't be right by your side
When you need me
And you can't see me in the middle of the night
Just close your eyes and say a prayer
It's okay, I know you're scared I might be here
But I'll always be right there
Even though you're leavin', I ain't goin' nowhere
Daddy, I'm afraid, won't you stay a little while?
I never thought I'd see the day I had to say goodbye
Daddy, please don't go, I can't do this on my own
There's no way that I can walk this road alone
Daddy grabbed my hand and said
Just 'cause I'm leavin'
It don't mean that I won't be right by your side
When you need me
And you can't see me in the middle of the night
Just close your eyes and say a prayer
It's okay, boy, I ain't scared
I won't be here, but I'll always be right there
Even though I'm leavin', I ain't goin' nowhere
I ain't goin' nowhere",https://genius.com/Luke-combs-even-though-im-leaving-lyrics,Luke Combs
